date,cash,stock_value,equity,drawdown,stock_weight,positions,risk_off_remaining_days
2026-02-06,137425.33969205339,6230874.0,6368299.339692053,-0.10580790092279213,0.9784204020003402,2,0
2026-02-09,3439134.8542944533,3589898.0,7029032.854294453,-0.013032317232727908,0.5107243164764437,1,0
2026-02-10,3439134.8542944533,3469063.0,6908197.854294453,-0.029999123679552264,0.502166132639567,1,0
2026-02-11,3439134.8542944533,3476668.0,6915802.854294453,-0.028931282714367512,0.5027135783434197,1,0
2026-02-12,3439134.8542944533,3976739.0,7415873.854294453,0.0,0.5362468507601587,1,0
2026-02-13,3439134.8542944533,3754842.0,7193976.854294453,-0.02992189516162036,0.5219424632647438,1,0
2026-02-24,3439134.8542944533,4230070.0,7669204.854294453,0.0,0.5515656551580217,1,0
2026-02-25,3439134.8542944533,4115488.0,7554622.854294453,-0.014940531929570011,0.544764190003282,1,0
2026-02-26,3439134.8542944533,4362735.0,7801869.854294453,0.0,0.559190948000572,1,0
2026-02-27,3439134.8542944533,4443179.0,7882313.854294453,0.0,0.5636896832748244,1,0
2026-03-02,3439134.8542944533,4217902.0,7657036.854294453,-0.02858005963277699,0.5508530362674678,1,0
2026-03-03,3439134.8542944533,4031833.0,7470967.854294453,-0.052185945345970985,0.5396667578595492,1,0
2026-03-04,3439134.8542944533,4043832.0,7482966.854294453,-0.050663676603339924,0.5404049060673384,1,0
2026-03-05,3439134.8542944533,4034706.0,7473840.854294453,-0.05182145846393249,0.5398437133808739,1,0
2026-03-06,3439134.8542944533,3891056.0,7330190.854294453,-0.07004580256585335,0.5308260149489004,1,0
2026-03-09,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-10,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-11,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-12,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-13,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-16,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-17,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-18,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-19,7131036.615176854,0.0,7131036.615176854,-0.09531176416025189,0.0,0,0
2026-03-20,3589395.0363553534,3607286.0,7196681.036355354,-0.08698369928083383,0.5012430010135412,1,0
2026-03-23,166920.73299465328,6955354.0,7122274.732994653,-0.09642335174026517,0.9765635644155404,2,0
2026-03-24,166920.73299465328,7033194.0,7200114.732994653,-0.08654807889032778,0.9768169342872085,2,0
2026-03-25,166920.73299465328,7241248.0,7408168.732994653,-0.06015303755527002,0.9774680168593868,2,0
2026-03-26,166920.73299465328,7013832.0,7180752.732994653,-0.08900446420533914,0.9767544240553399,2,0
2026-03-27,166920.73299465328,6847378.0,7014298.732994653,-0.1101218674294333,0.9762027909918531,2,0
2026-03-30,140794.84507890328,6904668.0,7045462.845078903,-0.10616819181332338,0.9800162390782821,3,0
2026-03-31,140794.84507890328,6671852.0,6812646.845078903,-0.1357046964874118,0.9793333122528425,3,0
2026-04-01,140794.84507890328,6993890.0,7134684.845078903,-0.09484892672831413,0.9802661437560181,3,0
2026-04-02,140794.84507890328,6779065.0,6919859.845078903,-0.1221029797857115,0.9796535120318903,3,0
2026-04-03,140794.84507890328,6981259.0,7122053.845078903,-0.09645137497301548,0.9802311456580481,3,0
2026-04-07,140794.84507890328,7082292.0,7223086.845078903,-0.08363369200991522,0.9805076627072777,3,0
2026-04-08,140794.84507890328,7804519.0,7945313.845078903,0.0,0.9822795111905985,3,0
2026-04-09,140794.84507890328,7746135.0,7886929.845078903,-0.007348230811066281,0.9821483330212766,3,0
2026-04-10,140794.84507890328,8232837.0,8373631.845078903,0.0,0.9831859284377725,3,0
2026-04-13,140794.84507890328,8178114.0,8318908.845078903,-0.006535157147153581,0.9830753230140042,3,0
2026-04-14,140794.84507890328,8436687.0,8577481.845078904,0.0,0.983585526892175,3,0
2026-04-15,140794.84507890328,8302451.0,8443245.845078904,-0.01564981452884262,0.983324559338638,3,0
2026-04-16,140794.84507890328,8780388.0,8921182.845078904,0.0,0.9842179173407964,3,0
2026-04-17,140794.84507890328,9410214.0,9551008.845078904,0.0,0.9852586415359202,3,0
2026-04-20,140794.84507890328,9358864.0,9499658.845078904,-0.005376395397901579,0.9851789577525892,3,0
2026-04-21,140794.84507890328,9410800.0,9551594.845078904,0.0,0.9852595459331649,3,0
2026-04-22,140794.84507890328,9872293.0,10013087.845078904,0.0,0.9859389184178485,3,0
2026-04-23,140794.84507890328,9823944.0,9964738.845078904,-0.004828580428739793,0.985870693927073,3,0
2026-04-24,140794.84507890328,9229579.0,9370373.845078904,-0.06418739253504824,0.9849744687451455,3,0
2026-04-27,190249.25798655348,9025444.0,9215693.257986553,-0.07963523334954503,0.9793559472238642,2,0
2026-04-28,190249.25798655348,9048502.0,9238751.257986553,-0.07733244720038202,0.9794074704823241,2,0
2026-04-29,184400.33748655347,9159470.0,9343870.337486554,-0.06683427909016582,0.9802651009885315,2,0
2026-04-30,184400.33748655347,9477067.0,9661467.337486554,-0.03511609136288163,0.9809138373038763,2,0
2026-05-06,184400.33748655347,9635380.0,9819780.337486554,-0.01930548404080512,0.9812215415061155,2,0
2026-05-07,184400.33748655347,10057782.0,10242182.337486554,0.0,0.981995991536721,2,0
2026-05-08,184400.33748655347,9773953.0,9958353.337486554,-0.027711769879469994,0.9814828484954023,2,0
2026-05-11,184400.33748655347,10361201.0,10545601.337486554,0.0,0.9825140045043175,2,0
2026-05-12,184400.33748655347,10590105.0,10774505.337486554,0.0,0.9828854938848106,2,0
2026-05-13,184400.33748655347,11384950.0,11569350.337486554,0.0,0.9840613057684781,2,0
2026-05-14,184400.33748655347,11270020.0,11454420.337486554,-0.00993400637437769,0.9839013819945936,2,0
