date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2026-01-05,3766775.9040768947,1256841.71676,2509934.1873168945,145.08290100097656,0.1068394645503031,0.0018689558610934416,4217355.956261953,0.1068394645503031,0.0018689558610933688,2026-01
2026-01-06,3744092.8840573635,1256841.71676,2487251.1672973633,143.77174377441406,0.11221795767603782,-0.0060218660725159506,4217355.956261953,0.11221795767603782,-0.00602186607251598,2026-01
2026-01-07,3749270.529931387,1256841.71676,2492428.8131713867,144.07102966308594,0.11099025815820707,0.001382883927925574,4217355.956261953,0.11099025815820707,0.0013828839279255156,2026-01
2026-01-08,3663838.8450558987,1256841.71676,2406997.1282958984,139.13278198242188,0.13124742538845682,-0.02278621512997402,4217355.956261953,0.13124742538845682,-0.02278621512997403,2026-01
2026-01-09,3710068.090051016,1256841.71676,2453226.3732910156,141.80499267578125,0.12028575995766108,0.01261770698716741,4217355.956261953,0.12028575995766108,0.012617706987167354,2026-01
2026-01-12,3752105.6434567776,1256841.71676,2495263.9266967773,144.2349090576172,0.11031800911051143,0.011330668975723213,4217355.956261953,0.11031800911051143,0.011330668975723102,2026-01
2026-01-13,3599118.007653555,1256841.71676,2342276.2908935547,135.39169311523438,0.14659373195436237,-0.04077380818688161,4217355.956261953,0.14659373195436237,-0.04077380818688159,2026-01
2026-01-14,3617609.8640378322,1256841.71676,2360768.147277832,136.46058654785156,0.14220902822623135,0.005137885544445682,4217355.956261953,0.14220902822623135,0.005137885544445719,2026-01
2026-01-15,3644484.311669668,1256841.71676,2387642.594909668,138.01402282714844,0.13583668310987176,0.007428785480433135,4217355.956261953,0.13583668310987176,0.007428785480433131,2026-01
2026-01-16,3697740.3617795315,1256841.71676,2440898.6450195312,141.0924072265625,0.12320885404773428,0.014612780727121525,4217355.956261953,0.12320885404773428,0.014612780727121466,2026-01
2026-01-19,3638813.5566647854,1256841.71676,2381971.839904785,137.6862335205078,0.13718130639130544,-0.01593589580377884,4217355.956261953,0.13718130639130544,-0.015935895803778855,2026-01
2026-01-20,3532548.2749875393,1256841.71676,2275706.558227539,131.54373168945312,0.16237844004075772,-0.029203277393152646,4217355.956261953,0.16237844004075772,-0.02920327739315265,2026-01
2026-01-21,3583462.0567258205,1256841.71676,2326620.3399658203,134.48672485351562,0.15030599885573417,0.014412763188200405,4217355.956261953,0.15030599885573417,0.014412763188200506,2026-01
2026-01-22,3722149.2637570705,1256841.71676,2465307.5469970703,142.50332641601562,0.11742112774938933,0.03870201632830106,4217355.956261953,0.11742112774938933,0.03870201632830095,2026-01
2026-01-23,3588762.979882559,1256841.71676,2331921.2631225586,134.7931365966797,0.1490490683970027,-0.03583582345106547,4217355.956261953,0.1490490683970027,-0.03583582345106551,2026-01
2026-01-26,3672468.2548459377,1256841.71676,2415626.5380859375,139.631591796875,0.12920125952540557,0.023324269513646773,4217355.956261953,0.12920125952540557,0.023324269513646856,2026-01
2026-01-27,3846413.2926877346,1256841.71676,2589571.5759277344,149.68621826171875,0.08795621413540895,0.04736461305343372,4217355.956261953,0.08795621413540895,0.04736461305343376,2026-01
2026-01-28,3963650.252526602,1256841.71676,2706808.5357666016,156.46292114257812,0.0601575267457915,0.030479553526331082,4217355.956261953,0.0601575267457915,0.030479553526331138,2026-01
2026-01-29,4018262.3527463283,1256841.71676,2761420.635986328,159.61968994140625,0.047208157333745976,0.013778233885523692,4217355.956261953,0.047208157333745976,0.013778233885523683,2026-01
2026-01-30,4319429.810326895,1256841.71676,3062588.0935668945,177.02821350097656,0.0,0.07494967504417177,4319429.810326895,0.0,0.07494967504417183,2026-01
2026-02-02,4196891.927331289,1256841.71676,2940050.210571289,169.94509887695312,0.028368995070284935,-0.028368995070284935,4319429.810326895,0.028368995070284935,-0.028368995070284897,2026-02
2026-02-03,4585339.965051016,1256841.71676,3328498.2482910156,192.39874267578125,0.0,0.09255612115957727,4585339.965051016,0.0,0.09255612115957734,2026-02
2026-02-04,4544165.352624258,1256841.71676,3287323.635864258,190.01870727539062,0.008979620429583505,-0.008979620429583505,4585339.965051016,0.008979620429583505,-0.008979620429583557,2026-02
2026-02-05,4362207.291405996,1256841.71676,3105365.574645996,179.5009002685547,0.04866218761219747,-0.04004213031402584,4585339.965051016,0.04866218761219747,-0.040042130314025814,2026-02
2026-02-06,4375397.960656485,1256841.71676,3118556.2438964844,180.26336669921875,0.045785482863797966,0.003023852001823773,4585339.965051016,0.045785482863797966,0.003023852001823757,2026-02
2026-02-09,4929284.903710684,1256841.71676,3672443.1869506836,212.2799530029297,0.0,0.1265912147957152,4929284.903710684,0.0,0.1265912147957151,2026-02
2026-02-10,4805637.261193594,1256841.71676,3548795.5444335938,205.1326904296875,0.025084296187467263,-0.025084296187467263,4929284.903710684,0.025084296187467263,-0.025084296187467214,2026-02
2026-02-11,4813403.730004629,1256841.71676,3556562.013244629,205.5816192626953,0.023508719006852547,0.0016161163210862424,4929284.903710684,0.023508719006852547,0.0016161163210861584,2026-02
2026-02-12,5325006.037133535,1256841.71676,4068164.320373535,235.1540069580078,0.0,0.10628701347859183,5325006.037133535,0.0,0.10628701347859182,2026-02
2026-02-13,5097928.754418692,1256841.71676,3841087.0376586914,222.0281524658203,0.042643572820638534,-0.042643572820638534,5325006.037133535,0.042643572820638534,-0.042643572820638576,2026-02
