date,nav,cash,position_value,close,peak,drawdown,daily_return,month
2025-10-14,2977653.1578375,1180060.3844,1797592.7734374998,345.69091796875,3462856.4171148436,-0.14011648212708794,-0.05112597360781346,2025-10
2025-10-15,3019307.74768125,1180060.3844,1839247.3632812498,353.701416015625,3462856.4171148436,-0.12808751389211404,0.013989067106123798,2025-10
2025-10-16,3086048.7510992186,1180060.3844,1905988.3666992185,366.5362243652344,3462856.4171148436,-0.10881411777666795,0.02210473691170578,2025-10
2025-10-17,3120484.1514898436,1180060.3844,1940423.7670898435,373.1584167480469,3462856.4171148436,-0.09886989940814674,0.011158411019384973,2025-10
2025-10-20,3273183.3702398436,1180060.3844,2093122.9858398435,402.5236511230469,3462856.4171148436,-0.05477358112151538,0.04893446380014299,2025-10
2025-10-21,3473146.761353125,1180060.3844,2293086.376953125,440.9781494140625,3473146.761353125,0.0,0.061091411172185195,2025-10
2025-10-22,3487689.400513281,1180060.3844,2307629.0161132812,443.7748107910156,3487689.400513281,0.0,0.004187165173086482,2025-10
2025-10-23,3469926.5953375,1180060.3844,2289866.2109375,440.35888671875,3487689.400513281,-0.005093000877075553,-0.0050930008770755375,2025-10
2025-10-24,3745823.9830328124,1180060.3844,2565763.5986328125,493.41607666015625,3745823.9830328124,0.0,0.07951101561227047,2025-10
2025-10-27,3823420.2720953124,1180060.3844,2643359.8876953125,508.33843994140625,3823420.2720953124,0.0,0.020715412527118726,2025-10
2025-10-28,3844507.1861578124,1180060.3844,2664446.8017578125,512.3936157226562,3844507.1861578124,0.0,0.005515196489488616,2025-10
2025-10-29,3884603.743775,1180060.3844,2704543.359375,520.1044921875,3884603.743775,0.0,0.010429570209038896,2025-10
2025-10-30,3853544.3443609374,1180060.3844,2673483.9599609375,514.1315307617188,3884603.743775,-0.007995512917845114,-0.00799551291784506,2025-10
2025-10-31,3636805.0499273436,1180060.3844,2456744.6655273438,472.4508972167969,3884603.743775,-0.06378995392895574,-0.056244141773211465,2025-10
2025-11-03,3673109.993775,1180060.3844,2493049.609375,479.4326171875,3884603.743775,-0.054444098793580815,0.009982647777169618,2025-11
2025-11-04,3661683.577759375,1180060.3844,2481623.193359375,477.2352294921875,3884603.743775,-0.05738556123590472,-0.0031108287078225327,2025-11
2025-11-05,3657580.452759375,1180060.3844,2477520.068359375,476.4461669921875,3884603.743775,-0.05844181440112786,-0.0011205569549815886,2025-11
2025-11-06,3760782.3936773436,1180060.3844,2580722.0092773438,496.2926940917969,3884603.743775,-0.03187489851341401,0.028215904544248716,2025-11
